,Category,Name,Rating,Number of reviews,5 stars,4 stars,3 stars,2 stars,1 star
253,Bijouterie,Jollia.fr,"4,5",13290,74,14,5,3,4
254,Boutique de t-shirts personnalisés,Tostadora.fr,"4,5",7757,76,13,4,3,4
255,Fabricant de bijoux,ZAG bijoux,"4,5",5937,80,10,4,2,4
256,Magasin de sacs et de valises,Trendhim,"4,5",4676,74,16,4,2,4
257,Magasin de jouets pour enfants,Les Petits Raffineurs,"4,5",4549,79,10,4,2,5
258,Magasin de puériculture,L'Armoire de Bébé,"4,5",4210,78,10,3,2,7
259,Fournisseur de lentilles de contact,EasyLunettes,"4,5",3462,63,20,4,3,10
260,Magasin de chaussures,Girotti,"4,5",2525,64,28,2,1,5
261,Boutique d'accessoires de mode,fashionette,"4,5",2192,80,8,3,2,7
262,Magasin de produits capillaires,Pop Brush,"4,5",1433,83,9,1,<1,6
263,Fabricant de maroquinerie,ABP Concept,"4,5",1331,78,7,4,3,8
264,Magasin de vêtements pour femmes,MinoDuSud,"4,5",1308,75,13,4,3,5
265,Magasin de vêtements pour femmes,Grungemama,"4,5",1290,76,12,5,2,5
266,Magasin de vêtements de sport (activewear),YUJ YOGA PARIS,"4,5",1028,82,8,4,2,4
267,Shopping & mode,Pig & Hen,"4,5",931,81,10,3,2,4
268,Magasin de maillots de bain,Kiwi Saint-Tropez,"4,5",879,83,8,3,2,4
269,Shopping & mode,Medagliettacane,"4,5",670,79,11,4,<1,6
270,Shopping & mode,Rieker Online,"4,5",563,81,7,4,2,6
271,Bijouterie fantaisie,Nilaï Paris,"4,5",531,77,9,5,3,6
272,Magasin de lunettes de soleil,Le Petit Cordon,"4,5",485,82,7,3,3,5
273,Magasin de streetwear,Ambition Store | Streetwear,"4,5",467,78,16,1,0,5
274,Magasin de vêtements de sport,FOX FITNESS,"4,5",300,77,14,2,2,5
275,Magasin de vêtements vintage,imparfaiteparis.com,"4,5",278,76,13,4,3,4
276,Magasin d'articles en soie,StudioSoie,"4,5",264,80,11,3,3,3
277,Magasin de jeans,Toxik3,"4,5",230,80,11,4,1,4
278,Boutique d'accessoires de mode,Les Artistes Paris,"4,5",224,80,7,2,3,8
279,Magasin d'accessoires de vélo,JE SUIS À VÉLO,"4,5",212,79,10,4,2,5
280,Shopping & mode,zohoha,"4,5",143,75,4,5,6,10
281,Magasin de sous-vêtements,Maison Cadolle,"4,5",136,81,8,<1,3,7
282,Boutique d'articles de mode,Côtelé Paris,"4,5",129,80,13,3,2,2
283,Magasin de vélos,IBKbike.fr,"4,5",103,81,12,2,<1,4
284,Bijouterie fantaisie,KLJ Perles,"4,5",96,87,6,2,2,3
285,Magasin d'articles de sports,AW TRAINER,"4,5",73,90,1,3,3,3
286,Magasin de chaussures,Wathe,"4,5",61,88,2,0,0,10
287,Magasin de vêtements vintage,CREWD ©,"4,5",59,81,12,2,3,2
288,Magasin d'ameublement et de décoration,CQFD Avignon,"4,5",42,88,5,5,0,2
289,Fabricant de lingerie,Perdième - Lingerie menstruelle,"4,5",42,89,5,2,2,2
290,Magasin de vêtements,Morexcustom,"4,5",40,90,2,5,0,3
291,Magasin de surplus militaire,Mode Tactique,"4,5",39,92,0,0,0,8
292,Bijouterie,Tuljewelry,"4,5",33,85,6,6,0,3
293,Service de débloquage et de recyclage de téléphones,Back Market - France,"4,4",50963,75,13,3,2,7
294,Magasin de puériculture,Optimalprint,"4,4",34382,73,16,5,2,4
295,Opticien,Lunettes Pour Tous,"4,4",14727,73,14,4,3,6
296,Magasin d'articles de football,Ekinsport,"4,4",8840,77,12,3,2,6
297,Boutique de cadeaux,Les Raffineurs,"4,4",5066,77,10,4,2,7
298,Magasin de vêtements pour femmes,Once Again,"4,4",4469,75,16,4,2,3
299,Magasin de chaussures,Palladiumboots,"4,4",3770,75,9,4,3,9
300,Horlogerie,1001 Pendules,"4,4",3069,71,15,5,3,6
301,Magasin de chaussures,Seraphine,"4,4",2835,57,22,10,5,6
302,Fabricant de lingerie,MOODZ,"4,4",2525,74,13,5,3,5
303,Shopping & mode,Wordans France,"4,4",1893,69,13,4,3,11
304,Magasin de jouets,borntobekids,"4,4",1794,81,8,3,2,6
305,Magasin de chaussures,Les Tropéziennes par M. Belarbi,"4,4",1421,73,12,4,2,9
306,Primeur,Potimarron,"4,4",1184,65,25,6,2,2
307,Boutique de lingerie,Do you Green,"4,4",1050,74,16,5,2,3
308,Marché en ligne,Wecasa,"4,4",708,80,6,2,2,10
309,Magasin de lunettes de soleil,Optimale Optique,"4,4",612,85,4,2,<1,8
310,Service de remise en espèces,Pasha (ex AirCampus),"4,4",453,73,21,3,<1,2
311,Magasin de vêtements,Salty Crew Europe,"4,4",340,78,9,3,3,7
312,Magasin de puériculture,Looping Baby,"4,4",306,75,15,4,2,4
313,Bijouterie,Laboutique-tara.com,"4,4",283,89,6,<1,2,2
314,Boutique de lingerie,Her Underwear,"4,4",232,75,13,3,3,6
315,Service de location de robes,LE CLOSET,"4,4",232,63,23,10,<1,3
316,Magasin de chaussures,corail.co,"4,4",221,75,10,5,4,6
317,Magasin de vêtements,Lamaktaba,"4,4",206,77,10,3,2,8
318,Marché de produits frais,mon-marché.fr,"4,4",202,66,19,7,3,5
319,Shopping & mode,Fashionchaussures,"4,4",201,77,9,4,2,8
320,Fabricant de matériel informatique,Horus X,"4,4",186,75,14,3,1,7
321,Graveur sur bijoux,Talisma X,"4,4",185,71,9,<1,<1,19
322,Boutique d'articles de mode,ATELIER F&B,"4,4",176,79,12,2,1,6
323,Magasin de tennis,Tennisplanet.fr,"4,4",162,68,14,4,4,10
324,Boutique d'accessoires de mode,Titeschaussettes,"4,4",147,75,7,3,5,10
325,Magasin de puériculture,Bambisol,"4,4",143,74,11,8,<1,6
326,Atelier de réparation de trottinettes,Dualtron Store | by Voltee,"4,4",136,77,11,3,2,7
327,Magasin de chaussures,Retroshoparis,"4,4",122,81,6,<1,2,10
328,Magasin de streetwear,Rangetrotter,"4,4",107,76,11,2,3,8
329,Boutique d'accessoires de mode,Tienda Piercing Glamz Colombia,"4,4",106,74,11,5,3,7
330,Magasin de sous-vêtements,Chaussettes Bambou,"4,4",98,73,19,1,3,4
331,Magasin de sous-vêtements,Pourprées - la lingerie menstruelle responsable,"4,4",89,83,7,4,0,6
332,Bijouterie,Luxury Story,"4,4",89,81,10,4,0,5
333,Magasin de vêtements,Lands' End FR,"4,4",77,74,17,1,3,5
334,Magasin de vêtements,Polar Star,"4,4",73,80,3,1,1,15
335,Boutique de lingerie,Plus Size Story,"4,4",64,80,6,3,5,6
336,Boutique d'accessoires de mode,Beau Nuage,"4,4",62,79,14,2,0,5
337,Boutique érotique,Oh! Darling... les boutiques Coquines,NA,NA,80,10,2,2,6
338,Bijouterie fantaisie,Sajes Bijoux,"4,4",47,83,6,2,2,7
339,Magasin de lunettes de soleil,Szade,"4,4",40,80,7,2,3,8
340,Service de paiement,CRESH,"4,4",40,90,2,0,3,5
341,Magasin de streetwear,Emiliano Dolly,"4,4",25,96,0,0,0,4
342,Magasin de vêtements pour hommes,Atlas For Men France,"4,3",43810,47,25,13,7,8
343,Marché en ligne,Fruugo France - Place de marché en ligne (FR),"4,3",8211,63,24,3,<1,9
344,Magasin de vêtements imprimés,TeamShirts France,"4,3",6708,65,18,7,4,6
345,Boutique de lingerie,GIRLS IN PARIS,"4,3",4515,76,14,4,3,3
346,Marché en ligne,24S,"4,3",3891,78,4,2,2,14
347,Service de coupons d'achat,eBuyClub,"4,3",3773,59,21,6,4,10
348,Service de coupons d'achat,Widilo.fr Cashback,"4,3",3361,73,12,3,2,10
349,Magasin de puériculture,Cmonpremier.fr,"4,3",1235,72,8,4,4,12
