,Catégorie,Titre,Score,Avis,5 etoiles,4 etoiles,3 etoiles,2 etoiles,1 etoiles
280,Magasin de vêtements pour femmes,salut beauté,"4,6",163,92,3,3,0,2
281,Boutique d'accessoires de mode,Ceres France,"4,6",145,86,9,<1,2,2
282,Magasin de sous-vêtements,Maison Cadolle,"4,6",135,82,8,0,3,7
283,Magasin de chaussures,karlandmax.com,"4,6",125,83,12,2,2,<1
284,Boutique d'accessoires de mode,www.bleuforet.fr,"4,6",117,82,6,2,2,8
285,Boutique de sacs à main,Jacques Esterel,"4,6",109,84,13,<1,0,2
286,Magasin de chaussures,ZESPÀ,0,0,0,0,0,0,0
287,Magasin de sacs et bagages,Nalaia,"4,6",96,85,7,6,1,1
288,Magasin de jeans,modeurbaine.fr,"4,6",94,80,11,7,1,1
289,Bijouterie fantaisie,KLJ Perles,"4,6",93,87,7,2,2,2
290,Magasin de sous-vêtements,Pourprées - la lingerie menstruelle responsable,"4,6",86,85,7,5,0,3
291,Bijouterie,Luxury Story,"4,6",82,83,10,4,1,2
292,Boutique d'accessoires de mode,Shoelace Factory,"4,6",75,82,12,1,1,4
293,Marché en ligne,Crypto Recharge,"4,6",71,90,4,3,0,3
294,Bijouterie,Ana & Cha Paris,"4,6",68,82,12,3,3,0
295,Fabrique de chaussures,lapantouflebio.com,"4,6",63,85,9,2,2,2
296,Magasin de vêtements,Cars and me,"4,6",63,86,9,0,0,5
297,Magasin de maillots de bain,Fenekia,"4,6",62,89,2,3,3,3
298,Magasin d'accessoires informatiques,NRV,"4,6",56,87,9,2,0,2
299,Boutique d'accessoires de mode,Flotte,"4,6",55,90,2,4,2,2
300,Magasin de chaussures,Wathe,"4,6",53,90,2,0,0,8
301,Bijouterie fantaisie,Exotika shop,"4,6",52,88,6,6,0,0
302,Horlogerie,Tempus Shop,"4,6",52,92,2,2,0,4
303,Artisanat,encens-naturels.com,"4,6",50,90,4,4,0,2
304,Boutique d'articles de mode,Mountaingirl,"4,6",47,94,0,2,0,4
305,Magasin discount,Destock Drive Breteuil,"4,6",44,96,2,2,0,0
306,Magasin de puériculture,Izybaby,"4,6",44,87,9,2,2,0
307,Magasin de vêtements pour hommes,Homère Shop,"4,6",36,89,8,3,0,0
308,Boutique d'articles de mode,AZAMOUL,"4,6",32,85,9,6,0,0
309,Service de cirage de chaussures,La Boutique Du Cirage,"4,6",32,91,6,0,3,0
310,Service de rachat de bijoux,Artetor Bordeaux,"4,6",31,97,0,3,0,0
311,Entreprise de confection,Adorastudio,"4,6",29,93,3,4,0,0
312,Boutique d'accessoires de mode,My Boo-Kase,"4,6",29,93,7,0,0,0
313,Magasin de vêtements pour enfants,kapoune.com,"4,6",27,96,4,0,0,0
314,Boutique d'accessoires de mode,Lescalotsdevero,"4,6",26,96,4,0,0,0
315,Fabricant de bijoux,OrPhée Bijoux,"4,6",25,100,0,0,0,0
316,Magasin de vêtements pour enfants,C-MonEtiquette,"4,5",51 993,79,12,3,2,4
317,Boutique de lingerie,Mesdessous,"4,5",14 399,78,12,3,2,5
318,Bijouterie,Jollia.fr,"4,5",13 240,74,14,5,3,4
319,Magasin de vêtements,La Boutique Officielle,"4,5",9 284,78,15,2,<1,4
320,Boutique de t-shirts personnalisés,Tostadora.fr,"4,5",7 573,76,13,4,3,4
321,Fabricant de bijoux,ZAG bijoux,"4,5",5 648,80,9,4,2,5
322,Boutique de cadeaux,Les Raffineurs,"4,5",4 715,78,10,4,2,6
323,Magasin de sacs et de valises,Trendhim,"4,5",4 653,75,16,4,2,3
324,Magasin de jouets pour enfants,Les Petits Raffineurs,"4,5",4 410,79,10,4,2,5
325,Magasin de puériculture,L'Armoire de Bébé,"4,5",4 160,78,10,3,2,7
